#{"t_start": 1715872318.695783, "env_id": "FrozenLake-v1"}
r,l,t
1.0,68,0.770633
1.0,7,0.77462
0.0,100,0.818121
1.0,22,0.828151
0.0,50,0.850259
0.0,78,0.884667
0.0,24,0.894681
1.0,24,0.904812
1.0,16,0.912908
1.0,46,0.937047
1.0,21,0.949225
1.0,12,0.957199
0.0,35,0.975267
0.0,14,0.984751
1.0,9,0.988886
1.0,32,1.002863
1.0,66,1.032022
0.0,13,1.090586
0.0,6,1.093596
0.0,17,1.100598
0.0,15,1.107616
0.0,10,1.11262
0.0,17,1.119615
0.0,6,1.122629
0.0,22,1.131646
0.0,6,1.134637
0.0,17,1.142651
0.0,8,1.145641
0.0,4,1.147655
0.0,11,1.152662
0.0,5,1.154655
0.0,17,1.162672
0.0,18,1.170663
0.0,7,1.174669
0.0,9,1.17918
0.0,14,1.185177
0.0,9,1.189193
0.0,5,1.191186
0.0,10,1.196193
0.0,7,1.199203
0.0,26,1.210215
0.0,11,1.215219
0.0,7,1.218243
0.0,20,1.227213
0.0,4,1.229227
0.0,33,1.243198
0.0,6,1.260277
0.0,12,1.274231
0.0,4,1.27872
0.0,7,1.285697
0.0,17,1.30563
0.0,11,1.318589
0.0,4,1.323571
0.0,5,1.329552
0.0,3,1.332542
0.0,4,1.337525
0.0,3,1.340514
0.0,8,1.349483
0.0,4,1.354467
0.0,3,1.357457
0.0,14,1.372408
0.0,6,1.379897
0.0,3,1.383883
0.0,9,1.397114
0.0,10,1.4084
0.0,5,1.413451
0.0,6,1.421694
0.0,10,1.434115
0.0,7,1.443504
0.0,4,1.449499
0.0,4,1.456475
0.0,3,1.46046
0.0,5,1.466441
0.0,17,1.490878
0.0,19,1.519752
0.0,19,1.547263
0.0,4,1.55233
0.0,4,1.558409
0.0,4,1.563394
0.0,7,1.573462
0.0,4,1.579362
0.0,5,1.586506
0.0,5,1.593482
0.0,3,1.595997
0.0,13,1.611938
0.0,3,1.614927
0.0,4,1.621903
0.0,5,1.627886
0.0,9,1.639843
0.0,3,1.643829
0.0,15,1.661769
0.0,29,1.699153
0.0,2,1.701146
0.0,16,1.720083
1.0,11,1.734579
0.0,5,1.742018
0.0,2,1.744269
0.0,10,1.758537
0.0,8,1.768159
0.0,4,1.773225
0.0,2,1.77524
0.0,9,1.785563
0.0,3,1.788594
0.0,5,1.794741
0.0,3,1.798824
0.0,5,1.803911
0.0,3,1.807841
0.0,2,1.809834
0.0,7,1.817846
0.0,4,1.82285
0.0,2,1.824844
0.0,14,1.839838
0.0,2,1.842827
0.0,5,1.847989
0.0,7,1.855952
0.0,7,1.863999
0.0,18,1.883536
0.0,3,1.886594
0.0,9,1.897858
0.0,3,1.901911
0.0,9,1.912047
0.0,3,1.915069
0.0,7,1.92307
0.0,3,1.927099
0.0,2,1.929133
0.0,13,1.944139
0.0,10,1.956185
0.0,7,1.964244
0.0,6,1.971258
0.0,6,1.977766
0.0,3,1.980759
0.0,6,1.987783
0.0,17,2.00683
0.0,2,2.00982
0.0,13,2.02392
0.0,4,2.029009
0.0,2,2.031119
0.0,2,2.033113
0.0,7,2.041156
0.0,6,2.048127
0.0,11,2.060228
0.0,7,2.068203
0.0,5,2.073281
0.0,2,2.075358
0.0,4,2.079995
0.0,4,2.084917
0.0,5,2.090961
0.0,27,2.120907
0.0,9,2.130907
0.0,2,2.132901
0.0,6,2.139918
0.0,12,2.153936
0.0,10,2.16494
0.0,2,2.166933
0.0,8,2.175925
0.0,5,2.182448
0.0,3,2.185473
0.0,3,2.188462
0.0,13,2.203526
0.0,6,2.210547
0.0,3,2.214552
0.0,11,2.226597
0.0,4,2.230624
0.0,11,2.243623
0.0,5,2.2506
0.0,2,2.252986
0.0,6,2.259982
0.0,6,2.266982
0.0,5,2.272996
0.0,7,2.280017
0.0,5,2.286035
0.0,13,2.301108
0.0,9,2.310174
0.0,13,2.325242
0.0,10,2.336251
0.0,5,2.34225
1.0,15,2.359331
0.0,8,2.368419
0.0,20,2.389876
0.0,21,2.413841
0.0,4,2.417828
0.0,4,2.422857
0.0,2,2.42485
0.0,26,2.457821
0.0,6,2.464899
0.0,14,2.480669
0.0,8,2.489754
0.0,15,2.510088
1.0,6,2.516165
0.0,3,2.520152
0.0,4,2.524138
0.0,5,2.530119
0.0,3,2.533108
0.0,2,2.535101
0.0,6,2.542192
0.0,6,2.548274
0.0,2,2.551263
0.0,8,2.560338
0.0,6,2.567341
0.0,10,2.579371
0.0,5,2.584392
0.0,2,2.586385
0.0,8,2.59541
0.0,6,2.602422
0.0,14,2.618465
0.0,4,2.622493
1.0,6,2.628584
0.0,8,2.637702
0.0,12,2.651724
0.0,30,2.686158
0.0,5,2.693264
0.0,7,2.70126
0.0,4,2.706353
0.0,3,2.709342
0.0,6,2.716319
0.0,26,2.745298
0.0,5,2.751344
0.0,2,2.753337
0.0,7,2.761377
0.0,2,2.76337
0.0,8,2.772379
0.0,6,2.778881
0.0,13,2.792916
0.0,7,2.800909
0.0,4,2.805911
0.0,7,2.815949
0.0,7,2.82502
0.0,3,2.829029
0.0,11,2.842052
0.0,6,2.851062
0.0,19,2.876977
0.0,2,2.880499
0.0,8,2.890514
0.0,4,2.895544
0.0,26,2.925619
0.0,10,2.936681
0.0,8,2.945692
0.0,3,2.950724
0.0,5,2.955749
0.0,3,2.959781
0.0,7,2.967861
0.0,9,2.976934
0.0,9,2.988408
0.0,9,2.999375
0.0,4,3.005355
0.0,8,3.01632
0.0,4,3.022299
0.0,12,3.036248
0.0,7,3.044222
0.0,6,3.050345
0.0,16,3.068367
0.0,6,3.07535
0.0,4,3.079849
0.0,2,3.081842
0.0,12,3.094822
0.0,3,3.098809
0.0,12,3.111799
0.0,8,3.120818
0.0,11,3.132777
0.0,2,3.134864
0.0,8,3.143845
0.0,4,3.148933
0.0,6,3.15594
0.0,2,3.157928
0.0,4,3.162948
0.0,7,3.169997
0.0,8,3.179583
0.0,5,3.18461
0.0,17,3.203754
0.0,9,3.213909
0.0,4,3.217897
0.0,6,3.225005
0.0,8,3.234074
0.0,7,3.242048
0.0,4,3.24703
0.0,4,3.251049
0.0,4,3.256054
0.0,38,3.300142
0.0,6,3.308231
0.0,3,3.312536
0.0,9,3.324878
0.0,2,3.327967
0.0,5,3.335079
0.0,2,3.338073
0.0,8,3.349155
0.0,18,3.371145
0.0,3,3.374283
0.0,3,3.377292
0.0,5,3.382957
0.0,4,3.388023
0.0,17,3.406333
0.0,2,3.408339
0.0,10,3.41941
0.0,2,3.421403
0.0,7,3.42855
0.0,6,3.435721
0.0,12,3.448792
0.0,8,3.457695
0.0,10,3.468762
0.0,14,3.487279
0.0,11,3.499312
0.0,6,3.506309
0.0,9,3.516274
0.0,3,3.519264
0.0,17,3.537396
